depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips,robustness_score,depth_distance,deviation_distance,backstep_distance
340,50,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,5.0,0.9854462397201004,10,100,20
340,75,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,7.5,0.9854462397201004,10,75,20
340,100,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,10.0,0.9854462397201004,10,50,20
340,125,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,12.5,0.9854462397201004,10,25,20
340,150,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,15.0,0.9854462397201004,10,0,20
340,175,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,17.5,0.9854462397201004,10,25,20
340,200,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,20.0,0.9854462397201004,10,50,20
340,225,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,22.5,0.9854462397201004,10,75,20
340,250,60,756,755,36.000000000000476,392.0,0.11941316956669695,0.1455244116215438,25.0,0.9854462397201004,10,100,20
355,25,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,2.5,0.9839844115290475,5,125,20
355,25,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,2.5,0.9839844115290475,5,125,0
355,50,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,5.0,0.9839844115290475,5,100,20
355,50,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,5.0,0.9839844115290475,5,100,0
355,75,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,7.5,0.9839844115290475,5,75,20
355,75,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,7.5,0.9839844115290475,5,75,0
355,100,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,10.0,0.9839844115290475,5,50,20
355,100,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,10.0,0.9839844115290475,5,50,0
355,125,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,12.5,0.9839844115290475,5,25,20
355,125,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,12.5,0.9839844115290475,5,25,0
355,150,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,15.0,0.9839844115290475,5,0,20
355,150,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,15.0,0.9839844115290475,5,0,0
355,175,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,17.5,0.9839844115290475,5,25,20
355,175,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,17.5,0.9839844115290475,5,25,0
355,200,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,20.0,0.9839844115290475,5,50,20
355,200,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,20.0,0.9839844115290475,5,50,0
355,225,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,22.5,0.9839844115290475,5,75,20
355,225,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,22.5,0.9839844115290475,5,75,0
355,250,20,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,25.0,0.9839844115290475,5,100,20
355,250,40,720,719,37.10000000000102,400.0,0.11660777385157835,0.1447264552819646,25.0,0.9839844115290475,5,100,0
335,25,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,2.5,0.9808470062181011,15,125,20
335,50,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,5.0,0.9808470062181011,15,100,20
335,75,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,7.5,0.9808470062181011,15,75,20
335,100,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,10.0,0.9808470062181011,15,50,20
335,125,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,12.5,0.9808470062181011,15,25,20
335,150,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,15.0,0.9808470062181011,15,0,20
335,175,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,17.5,0.9808470062181011,15,25,20
335,200,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,20.0,0.9808470062181011,15,50,20
335,225,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,22.5,0.9808470062181011,15,75,20
335,250,60,762,761,35.70000000000073,391.0,0.11946902654867146,0.1456689488874408,25.0,0.9808470062181011,15,100,20
340,25,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,2.5,0.9806637376607825,10,125,20
340,25,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,2.5,0.9806637376607825,10,125,0
340,50,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,5.0,0.9806637376607825,10,100,20
340,50,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,5.0,0.9806637376607825,10,100,0
340,75,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,7.5,0.9806637376607825,10,75,20
340,75,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,7.5,0.9806637376607825,10,75,0
340,100,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,10.0,0.9806637376607825,10,50,20
340,100,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,10.0,0.9806637376607825,10,50,0
340,125,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,12.5,0.9806637376607825,10,25,20
340,125,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,12.5,0.9806637376607825,10,25,0
340,150,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,15.0,0.9806637376607825,10,0,20
340,150,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,15.0,0.9806637376607825,10,0,0
340,175,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,17.5,0.9806637376607825,10,25,20
340,175,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,17.5,0.9806637376607825,10,25,0
340,200,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,20.0,0.9806637376607825,10,50,20
340,200,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,20.0,0.9806637376607825,10,50,0
340,225,20,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,22.5,0.9806637376607825,10,75,20
340,225,40,760,759,35.80000000000138,391.0,0.12006898038370499,0.1469649658685366,22.5,0.9806637376607825,10,75,0
